src_ip,dst_ip,src_port,dst_port,protocol,bidirectional_packets,bidirectional_first_seen_ms,ground_truth,predicted,gt_bin,pred_bin
10.3.1.214,10.3.2.38,34850,80,6,19,1787884417228,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34860,80,6,19,1787884417228,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34872,80,6,19,1787884417228,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34880,80,6,19,1787884417229,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34882,80,6,19,1787884417229,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34894,80,6,19,1787884417229,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34902,80,6,19,1787884417229,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34912,80,6,19,1787884417229,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34928,80,6,19,1787884417229,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34936,80,6,19,1787884417230,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34952,80,6,19,1787884417230,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34962,80,6,19,1787884417230,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34966,80,6,19,1787884417230,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34968,80,6,19,1787884417230,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,34980,80,6,19,1787884417231,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,34996,80,6,19,1787884417231,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35002,80,6,19,1787884417231,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35010,80,6,19,1787884417231,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35022,80,6,19,1787884417231,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35036,80,6,19,1787884417231,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35046,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35056,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35058,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35074,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35076,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35084,80,6,19,1787884417232,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35100,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35116,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35126,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35134,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35146,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35148,80,6,19,1787884417233,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35158,80,6,19,1787884417233,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35168,80,6,19,1787884417234,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35172,80,6,19,1787884417234,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35184,80,6,19,1787884417234,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35192,80,6,19,1787884417234,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35198,80,6,19,1787884417235,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35214,80,6,19,1787884417235,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35224,80,6,19,1787884417235,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35236,80,6,19,1787884417235,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35238,80,6,19,1787884417235,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35240,80,6,19,1787884417235,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35254,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35260,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35270,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35286,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35302,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35314,80,6,19,1787884417236,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35320,80,6,19,1787884417236,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35336,80,6,19,1787884417237,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35352,80,6,19,1787884417237,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35358,80,6,19,1787884417237,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35364,80,6,19,1787884417237,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35370,80,6,19,1787884417237,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35382,80,6,19,1787884417237,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35398,80,6,19,1787884417238,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35412,80,6,19,1787884417238,SSH-Bruteforce,Benign,1,0
10.3.1.214,10.3.2.38,35426,80,6,19,1787884417238,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35442,80,6,19,1787884417238,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35444,80,6,19,1787884417238,SSH-Bruteforce,DoS attacks-Slowloris,1,1
10.3.1.214,10.3.2.38,35456,80,6,19,1787884417238,SSH-Bruteforce,Benign,1,0
